epoch,train_loss,val_loss,val_mae,val_rmse
1,0.43759818908506065,0.4223000407218933,25132.818359375,156520.92716311134
2,0.40461215537621775,0.38325783610343933,25077.56640625,156503.56305209157
3,0.35610838149984864,0.3298860490322113,25012.98046875,156471.8983587788
4,0.30106472029233705,0.28800418972969055,24970.640625,156433.9367784369
5,0.26598226356672183,0.2654818892478943,24947.9921875,156418.93286939405
6,0.23719345847260132,0.23595653474330902,24898.044921875,156429.69498148363
7,0.20794136211429837,0.2053043097257614,24848.80078125,156428.3072081265
8,0.17964991202621394,0.18181975185871124,24809.58984375,156425.80002032913
9,0.16232796258844465,0.16784915328025818,24781.3046875,156426.91942245746
10,0.15236097497004614,0.1623721569776535,24773.798828125,156420.51711971802
11,0.14621240942481695,0.15813417732715607,24767.8046875,156412.12433823664
12,0.14287396112063094,0.15950798988342285,24769.853515625,156411.25361047394
13,0.14170525538158865,0.15528756380081177,24760.314453125,156408.8967290544
14,0.13745003753853885,0.15473823249340057,24757.654296875,156409.3550143341
15,0.13520488735059255,0.1547216773033142,24757.306640625,156407.0439334495
16,0.13287086308507196,0.15430419147014618,24756.1328125,156406.81478759166
17,0.13109339464934514,0.15498961508274078,24758.271484375,156404.8899491317
18,0.13014643833188214,0.15611813962459564,24761.060546875,156403.73110639016
19,0.12623259160803274,0.1547602117061615,24757.578125,156404.14357682472
20,0.12291295964248157,0.15403766930103302,24756.03125,156403.2138800223
21,0.1196497949363784,0.15446971356868744,24756.86328125,156403.51505001413
22,0.11663348529277594,0.15451499819755554,24756.484375,156402.63772711763
23,0.11374218380139581,0.1559559404850006,24758.791015625,156404.41200938035
24,0.1102619671854942,0.15601429343223572,24761.3203125,156399.39028014144
25,0.10709929509594035,0.15818403661251068,24764.7890625,156400.02537084193
26,0.10421349263663725,0.16083605587482452,24770.0625,156400.7193845348
27,0.10436169373761754,0.1616031676530838,24771.3203125,156397.9498586858
28,0.10230288932642333,0.16093389689922333,24769.072265625,156397.74034173257
29,0.09720431328883349,0.1662372350692749,24782.7578125,156393.19637375535
30,0.09547838317565159,0.16471190750598907,24777.427734375,156396.53561380444
31,0.09256556529471614,0.16658946871757507,24780.443359375,156395.33087659618
32,0.08924199863679647,0.16830603778362274,24785.267578125,156392.38446932126
33,0.08701631560343152,0.16971705853939056,24787.724609375,156392.04399201387
34,0.08593014164065223,0.17418621480464935,24795.1171875,156394.02136910477
35,0.08434492193898402,0.17475907504558563,24796.23046875,156391.80827652066
36,0.08192528004489116,0.17484766244888306,24796.5390625,156391.84756246087
37,0.07984457276622113,0.17561838030815125,24797.6328125,156389.87670562312
38,0.07825821585550753,0.17704470455646515,24798.603515625,156390.51183495755
39,0.0757713831883137,0.17919689416885376,24803.53515625,156389.85051466734
40,0.0734204007752387,0.18077224493026733,24805.921875,156390.97017411204
41,0.07192972200478254,0.1825408935546875,24808.55078125,156389.18919158063
42,0.07042613500190611,0.1850045621395111,24812.65625,156389.81122822547
43,0.06869560130613943,0.1862080693244934,24815.162109375,156388.55405687462
44,0.06736455750514175,0.19025492668151855,24822.439453125,156387.40818876692
45,0.06732050974123538,0.19066078960895538,24822.640625,156387.7093891972
46,0.06467360785836619,0.19331128895282745,24827.60546875,156388.57370025472
47,0.06411880172277333,0.19867578148841858,24837.521484375,156388.7635861349
48,0.06488204626749897,0.1958853304386139,24832.1796875,156385.9087258184
49,0.06194468924917039,0.19883157312870026,24836.529296875,156385.64026150227
50,0.06212503587774206,0.20160742104053497,24841.123046875,156386.88436054988
51,0.0601312656496187,0.20333261787891388,24845.158203125,156384.80867398853
52,0.0585684140035357,0.20263856649398804,24842.583984375,156385.73193229618
53,0.05675851223805908,0.204397514462471,24845.40625,156384.3830566211
54,0.056535141067334,0.20904257893562317,24853.52734375,156385.97420484998
55,0.056110748001516365,0.2070329785346985,24849.41015625,156383.9312461482
56,0.05403304031707477,0.2094602733850479,24854.443359375,156384.1080417061
57,0.052247174882533456,0.2119457870721817,24857.337890625,156384.6711669657
58,0.0512402876834155,0.2128547728061676,24858.908203125,156383.6038464391
59,0.05011871984186314,0.21358022093772888,24859.880859375,156380.92569108293
60,0.04921324215374502,0.217240110039711,24865.89453125,156380.99117220097
61,0.05134705557280784,0.21830247342586517,24867.740234375,156381.22690399893
62,0.04721998415395307,0.22003313899040222,24869.390625,156382.1305392659
63,0.04657891402199548,0.2220211774110794,24873.318359375,156379.07256407425
64,0.05509546555406055,0.229335218667984,24887.44921875,156379.53093675655
65,0.050739299823231714,0.23003613948822021,24887.703125,156377.6123107141
66,0.049536856598226854,0.23139482736587524,24888.107421875,156383.28954207353
67,0.047540744859327404,0.22789451479911804,24881.689453125,156377.63195546862
68,0.04499802568548795,0.22828309237957,24881.8671875,156378.9677929868
69,0.042774501400323225,0.23236069083213806,24888.982421875,156380.97807597957
70,0.04191450754756743,0.23306618630886078,24889.41796875,156378.1361699902
71,0.04184731319422772,0.23447881639003754,24891.83984375,156377.5468281812
72,0.04109567843482647,0.24003560841083527,24900.90234375,156380.0678859042
73,0.03991935358766197,0.23773576319217682,24896.41796875,156376.00143244487
74,0.03850390765315616,0.23925887048244476,24898.490234375,156376.93783931184
75,0.037260374154299704,0.2427075356245041,24903.138671875,156377.74982394394
76,0.03676024675048178,0.24559840559959412,24907.533203125,156377.56647294393
77,0.03611557434251352,0.24633781611919403,24908.888671875,156375.6478227988
78,0.03521795933718686,0.24727416038513184,24909.48828125,156376.2699133088
79,0.034091964799065684,0.24887540936470032,24912.041015625,156374.82927888364
80,0.03311387597216134,0.2505030930042267,24914.63671875,156374.9471494715
